nom_du_champ,type,titre_mobile,obligatoire,valeur_par_defaut,reference_autre_table,liste_de_choix,remarque_metier
ep_type,varchar(400),Type,non,,,DISTRIBUTION (DISTRIBUTION) | DI_PRINCIPAL (DI_PRINCIPAL) | ADDUCTION (ADDUCTION) | ADD_POMPAGE (ADD_POMPAGE) | ABANDONNEE (ABANDONNEE) | ADDUCTION MIXTE (ADDUCTION MIXTE) | PRODUCTION (PRODUCTION) | DECHARGE (DECHARGE) | SOCIETE TIERCE (SOCIETE TIERCE) | EAU BRUTE (EAU BRUTE) | BRANCHEMENT INDUSTRIEL (BRANCHEMENT INDUSTRIEL) | GALERIE (GALERIE) | LIAISON (LIAISON),Mode de remplissage: saisie agent mobile
ep_diam,int4,Diamètre,non,,,1000 (1000) | 800 (800) | 700 (700) | 600 (600) | 500 (500) | 400 (400) | 350 (350) | 315 (315) | 300 (300) | 250 (250) | 225 (225) | 200 (200) | 160 (160) | 150 (150) | 125 (125) | 110 (110) | 100 (100) | 90 (90) | 80 (80) | 75 (75) | 63 (63) | 60 (60) | 40 (40) | 50 (50) | 32 (32),Mode de remplissage: saisie agent mobile
ep_mat,varchar(400),Matériau,non,,,Acier (AC) | Amiante Ciment (AMC) | Beton (BE) | Beton précontraint (BEP) | Fonte (FO) | Fonte Ductile (FOD) | Fonte grise (FOG) | Plomb (PB) | PVC (PVC) | Polyethylene (PE) | Indéfini (IN) | BVA (BVA) | CAO (CAO) | POLYPROBELENE (PP) | POLYPROBELENE2 (PEHD) | BETON ARME (BETON ARME) | Inconnu (INC),Mode de remplissage: saisie agent mobile
ep_profondeur,float8,Profondeur,non,,,,Mode de remplissage: saisie agent mobile
ep_classe_conduite,varchar(400),Ep Classe,non,,,PN6 (PN6) | PN10 (PN10) | PN16 (PN16) | PN25 (PN25) | (Inconnue),Mode de remplissage: saisie agent mobile
emplacement,varchar(400),Emplacement,non,,,TR (S-TROTTOIR) | CH (S-CHAUSSEE) | TR-CH (S-TROTOIR C-CHAISSI) | TN (TN) | PISTE (PISTE) | AGRI (TERRE_AGRICOLE),Mode de remplissage: saisie agent mobile
ep_ref_rue,varchar(400),Référence rue,non,,,,Mode de remplissage: saisie agent mobile
ep_observ,varchar(400),Observation,non,,,,Mode de remplissage: saisie agent mobile
ep_conf_plan,varchar(400),Conformité des plans,non,,,Conforme aux plan (Conforme aux plan) | Objet découvrt sur terrain (Objet découvrt sur terrain) | Objet non trouvé sur le terrain (Objet non trouvé sur le terrain),Mode de remplissage: saisie agent mobile
ep_observation,varchar(400),Observation,non,,,,Mode de remplissage: saisie agent mobile
ep_anomalie,varchar(400),Anomalie,non,,,NON_RACCORDER (NON_RACCORDER) | ANO_REGARD (ANO_REGARD) | NON_GEORADAR (NON_GEORADAR),Mode de remplissage: saisie agent mobile
mode_localisation,varchar(400),Mode localisation,non,,,Levé topographique (Levé topographique) | Triangulé (Triangulé) | Schématique (Schématique) | Indéterminé (Indéterminé),Mode de remplissage: saisie agent mobile
fid,serial (PK),Identifiant unique (PK),non,nextval('ep.ep_conduite_fid_seq'),,,Mode de remplissage: pre-rempli / automatique / relation spatiale selon le code couleur source
uuid,varchar(254),Identifiant unique universel,non,,,,Mode de remplissage: pre-rempli / automatique / relation spatiale selon le code couleur source
ep_date_insertion,date,Date D'Insertion Sur Elex,non,,,,Mode de remplissage: pre-rempli / automatique / relation spatiale selon le code couleur source
ep_long_c,float8,Longueur calculée,non,,,,Mode de remplissage: pre-rempli / automatique / relation spatiale selon le code couleur source
