nom_du_champ,type,titre_mobile,obligatoire,valeur_par_defaut,reference_autre_table,liste_de_choix,remarque_metier
ep_type_bf,varchar(400),Type  BF,non,,,Simple (SIMPLE) | Double (DOUBLE) | Multirobinets (MULTIROBINET),Mode de remplissage: saisie agent mobile
ep_etat,varchar(400),Etat BF,non,,,Bon (BON) | Moyen (MOYEN) | Mauvais (MO),Mode de remplissage: saisie agent mobile
ep_ref_rue,varchar(400),Référence rue,non,,,,Mode de remplissage: saisie agent mobile
statut,varchar(400),Statut,non,,,Privé (PRIVE) | Public (PUBLIC),Mode de remplissage: saisie agent mobile
diam_brts,int4,Diamètre branchement,non,,,16 (16) | 25 (25) | 32 (32) | 40 (40) | 50 (50) | 60 (60) | 63 (63) | 70 (70) | 75 (75) | 80 (80) | 90 (90) | 100 (100) | 110 (110) | 125 (125) | 135 (135) | 140 (140) | 150 (150) | 160 (160) | 175 (175) | 180 (180) | 200 (200) | 225 (225) | 250 (250) | 300 (300) | 350 (350) | 400 (400) | 450 (450) | 500 (500) | 600 (600) | 800 (800) | 900 (900) | 1000 (1000) | 1200 (1200) | Inconnu (-1),Mode de remplissage: saisie agent mobile
conform,varchar(400),Conformité,non,,,Oui (O) | Non (N),Mode de remplissage: saisie agent mobile
ep_fonct,varchar(400),Fonctionnelle,non,,,Oui (O) | Non (N),Mode de remplissage: saisie agent mobile
vanne,varchar(400),Présence d'une vanne,non,,,Oui (O) | Non (N),Mode de remplissage: saisie agent mobile
ep_conf_plan,varchar(400),Conformité des plans,non,,,Conforme aux plan (Conforme aux plan) | Objet découvrt sur terrain (Objet découvrt sur terrain) | Objet non trouvé sur le terrain (Objet non trouvé sur le terrain),Mode de remplissage: saisie agent mobile
ep_observation,varchar(400),Observation,non,,,,Mode de remplissage: saisie agent mobile
ep_anomalie,varchar(400),Anomalie,non,,,Oui (O) | Non (N),Mode de remplissage: saisie agent mobile
nb_robinets,int4,Nombre robinets,non,,,,Mode de remplissage: saisie agent mobile
mat_brts,int4,Matériau  branchement,non,,,Acier (AC) | Amiante Ciment (AMC) | Beton (BE) | Beton précontraint (BEP) | Fonte (FO) | Fonte Ductile (FOD) | Fonte grise (FOG) | Plomb (PB) | PVC (PVC) | Polyethylene (PE) | Indéfini (IN) | BVA (BVA) | CAO (CAO) | POLYPROBELENE (PP) | POLYPROBELENE2 (PEHD) | BETON ARME (BETON ARME) | Inconnu (INC),Mode de remplissage: saisie agent mobile
compt_g,varchar(400),Compteur géneral,non,,,Oui (O) | Non (N),Mode de remplissage: saisie agent mobile
diam_comp,int4,Diaméttre compteur,non,,,1000 (1000) | 800 (800) | 700 (700) | 600 (600) | 500 (500) | 400 (400) | 350 (350) | 315 (315) | 300 (300) | 250 (250) | 225 (225) | 200 (200) | 160 (160) | 150 (150) | 125 (125) | 110 (110) | 100 (100) | 90 (90) | 80 (80) | 75 (75) | 63 (63) | 60 (60) | 40 (40) | 50 (50) | 32 (32),Mode de remplissage: saisie agent mobile
mode_localisation,varchar(400),Mode localisation,non,,,Levé topographique (Levé topographique) | Triangulé (Triangulé) | Schématique (Schématique) | Indéterminé (Indéterminé),Mode de remplissage: saisie agent mobile | Description: levé topographique
ep_service,varchar(400),Etat De Service,non,,,,Mode de remplissage: saisie agent mobile
fid,serial (PK),Identifiant unique (PK),non,nextval('ep.ep_bf_fid_seq'),,,Mode de remplissage: pre-rempli / automatique / relation spatiale selon le code couleur source
uuid,varchar(254),Identifiant unique universel,non,,,,Mode de remplissage: pre-rempli / automatique / relation spatiale selon le code couleur source
ep_alti,float8,Altitude(Z),non,,,,Mode de remplissage: pre-rempli / automatique / relation spatiale selon le code couleur source
ep_date_insertion,date,Date D'Insertion Sur Elex,non,,,,Mode de remplissage: pre-rempli / automatique / relation spatiale selon le code couleur source | Description: date_creation
ep_coor_x,float8,Coordonnées relevées  X,non,,,,Mode de remplissage: pre-rempli / automatique / relation spatiale selon le code couleur source
ep_coor_y,float8,Coordonnées relevées Y,non,,,,Mode de remplissage: pre-rempli / automatique / relation spatiale selon le code couleur source
ep_coor_z,float8,Coordonnées relevées Z,non,,,,Mode de remplissage: pre-rempli / automatique / relation spatiale selon le code couleur source
geom,geometry,Géométrie PostGIS,non,,,,Mode de remplissage: pre-rempli / automatique / relation spatiale selon le code couleur source
id_commune,int4,FK commune,non,,-> public.commune.fid,,Mode de remplissage: pre-rempli / automatique / relation spatiale selon le code couleur source
id_province,int4,FK province,non,,-> public.province.fid,,Mode de remplissage: pre-rempli / automatique / relation spatiale selon le code couleur source
id_user_creat,int4,FK utilisateur créateur,non,,-> public.utilisateur.id_user,,Mode de remplissage: pre-rempli / automatique / relation spatiale selon le code couleur source
id_user_modif,int4,FK utilisateur modificateur,non,,-> public.utilisateur.id_user,,Mode de remplissage: pre-rempli / automatique / relation spatiale selon le code couleur source
date_creation,timestamptz,Date/heure de création,non,,,,Mode de remplissage: pre-rempli / automatique / relation spatiale selon le code couleur source
date_modif,timestamptz,Date/heure dernière modification,non,,,,Mode de remplissage: pre-rempli / automatique / relation spatiale selon le code couleur source
is_deleted,bool,Suppression logique,non,False,,,Mode de remplissage: pre-rempli / automatique / relation spatiale selon le code couleur source
is_validated,bool,Validation exploitant,non,False,,,Mode de remplissage: pre-rempli / automatique / relation spatiale selon le code couleur source | Description: Validation exploitant
id_user_valid,int4,FK utilisateur validateur,non,,-> public.utilisateur.id_user,,Mode de remplissage: pre-rempli / automatique / relation spatiale selon le code couleur source
date_validation,timestamp,Date/heure validation,non,,,,Mode de remplissage: pre-rempli / automatique / relation spatiale selon le code couleur source
ep_secteur_com,varchar(400),Secteur commercial,non,,,,Mode de remplissage: pre-rempli / automatique / relation spatiale selon le code couleur source
ep_agent,varchar(400),Dernier intervenant SIG,non,,,,Mode de remplissage: pre-rempli / automatique / relation spatiale selon le code couleur source
ep_zone_hydro,varchar(400),Zone hydraulique,non,,,,Mode de remplissage: pre-rempli / automatique / relation spatiale selon le code couleur source | Description: commune
ep_secteur_hydro,varchar(400),Secteur hydraulique,non,,,,Mode de remplissage: pre-rempli / automatique / relation spatiale selon le code couleur source | Description: commune
adresse,varchar(400),Adresse,non,,,,Mode de remplissage: pre-rempli / automatique / relation spatiale selon le code couleur source | Description: ref_rue
ep_statut,varchar(400),Statut de la conduite,non,,,EP_POSE (EP_POSE) | (EP_REHABILITE) | EP_EXISTANT (EP_EXISTANT) | EP_PROJETE (EP_PROJETE) | EP_A REHABILITE (EP_A REHABI) | EP_EN COURS (EP_EN COURSS) | EP_A RESILISER (EP_A RESILISE),Mode de remplissage: pre-rempli / automatique / relation spatiale selon le code couleur source
ep_agent_crea,varchar(400),Agent de création SIG,non,,,,Mode de remplissage: pre-rempli / automatique / relation spatiale selon le code couleur source | Description: ETAFAT
sec_com,varchar(400),Sec Com,non,,,,Mode de remplissage: pre-rempli / automatique / relation spatiale selon le code couleur source | Description: commune
