nom_du_champ,type,titre_mobile,obligatoire,valeur_par_defaut,reference_autre_table,liste_de_choix,remarque_metier
emplacement,varchar(400),Emplacement regard,oui,,,TR (S-TROTTOIR) | CH (S-CHAUSSEE) | TR-CH (S-TROTOIR C-CHAISSI) | TN (TN) | PISTE (PISTE) | AGRI (TERRE_AGRICOLE),Mode de remplissage: saisie agent mobile
ep_ref_rue,varchar(400),Reference rue,oui,,,,Mode de remplissage: saisie agent mobile | Valeur attendue: REF RUE / DOUAR
ep_section,varchar(400),Section du regard,oui,,,,Mode de remplissage: pre-rempli / automatique / relation spatiale selon le code couleur source
ep_tampon,varchar(400),Type de tampon,oui,,,FD400 (FD400) | FD250 (FD250) | Béton (Béton),Mode de remplissage: saisie agent mobile
ep_conf_plan,varchar(400),Conformité des plans,oui,,,Conforme aux plan (Conforme aux plan) | Objet découvrt sur terrain (Objet découvrt sur terrain) | Objet non trouvé sur le terrain (Objet non trouvé sur le terrain),Mode de remplissage: saisie agent mobile
ep_observation,varchar(400),Observation,oui,,,,Mode de remplissage: saisie agent mobile
ep_anomalie,varchar(400),Anomalie,oui,,,Oui (O) | Non (N),Mode de remplissage: saisie agent mobile
mode_localisation,varchar(400),Mode localisation,non,"PAR DEFAUT LEVE TOPOGRAPHIQUE ,",,Levé topographique (Levé topographique) | Triangulé (Triangulé) | Schématique (Schématique) | Indéterminé (Indéterminé),Mode de remplissage: pre-rempli / automatique / relation spatiale selon le code couleur source
echelon,varchar(400),Existance échelon,oui,,,Oui (O) | Non (N),Mode de remplissage: saisie agent mobile
anomalie_tamp,varchar(400),Anomalie tampon,oui,,,Tampons en mauvais état (Tampons en mauvais état) | Tampons Manquant (Tampons Manquant) | Tampons Scellés (Tampons Scellés),"Mode de remplissage: saisie agent mobile | Contrainte: si tampon scellé ou regard enterreé user , bloquer la saisie de profondeur , generatrice superieur , retour_terran doit = oui"
anomalie_regard,varchar(400),Anomalie Regard,oui,,,A mettre à la cote (A mettre à la cote) | Inaccessible (Inaccessible) | Ouvrage dégradés (Ouvrage dégradés) | Regards Enterrés (Regards Enterrés) | Regards Noyés (Regards Noyés) | Regards à curer (Regards à curer) | Sectionnement enterré (Sectionnement enterré) | Autre (Autre),"Mode de remplissage: saisie agent mobile | Contrainte: inacessible, bloquer ,"
GENRATRICE_SUP,float8,generatrice superieur,oui,distance entre z_tampon et z_conduite,,,"Mode de remplissage: pre-rempli / automatique / relation spatiale selon le code couleur source | Description: distance entre z_tampon et z_conduite | Contrainte: 4m alerte , positive"
ep_profondeur,float8,Ep Profondeur,oui,,,,"Mode de remplissage: saisie agent mobile | Contrainte: 4m alerte , positive"
fid,serial (PK),Identifiant unique (PK),non,nextval('ep.ep_regard_fid_seq'),,,Mode de remplissage: pre-rempli / automatique / relation spatiale selon le code couleur source
uuid,varchar(254),Identifiant unique universel,non,,,,Mode de remplissage: pre-rempli / automatique / relation spatiale selon le code couleur source
z_radier,varchar(400),Cote radier,non,Z_coor-profondeur,,,Mode de remplissage: pre-rempli / automatique / relation spatiale selon le code couleur source
z_surf,varchar(400),Cote surface,non,Z_coor-,,,Mode de remplissage: pre-rempli / automatique / relation spatiale selon le code couleur source
ep_date_insertion,date,Date d'insertion sur Elyx,non,on remplie avec date_creation,,,Mode de remplissage: pre-rempli / automatique / relation spatiale selon le code couleur source
ep_coor_x,float8,Coordonnées relevées  X,non,,,,Mode de remplissage: pre-rempli / automatique / relation spatiale selon le code couleur source
ep_coor_y,float8,Coordonnées relevées Y,non,,,,Mode de remplissage: pre-rempli / automatique / relation spatiale selon le code couleur source
ep_coor_z,float8,Coordonnées relevées Z,non,,,,Mode de remplissage: pre-rempli / automatique / relation spatiale selon le code couleur source
geom,geometry,Géométrie PostGIS,non,,,,Mode de remplissage: pre-rempli / automatique / relation spatiale selon le code couleur source
id_commune,int4,FK commune,non,,-> public.commune.fid,,Mode de remplissage: pre-rempli / automatique / relation spatiale selon le code couleur source
id_province,int4,FK province,non,,-> public.province.fid,,Mode de remplissage: pre-rempli / automatique / relation spatiale selon le code couleur source
id_user_creat,int4,FK utilisateur créateur,non,,-> public.utilisateur.id_user,,Mode de remplissage: pre-rempli / automatique / relation spatiale selon le code couleur source
id_user_modif,int4,FK utilisateur modificateur,non,,-> public.utilisateur.id_user,,Mode de remplissage: pre-rempli / automatique / relation spatiale selon le code couleur source
date_creation,timestamptz,Date/heure de création,non,,,,Mode de remplissage: pre-rempli / automatique / relation spatiale selon le code couleur source
date_modif,timestamptz,Date/heure dernière modification,non,,,,Mode de remplissage: pre-rempli / automatique / relation spatiale selon le code couleur source
is_deleted,bool,Suppression logique,non,False,,,Mode de remplissage: pre-rempli / automatique / relation spatiale selon le code couleur source
is_validated,bool,Validation,non,False,,,Mode de remplissage: pre-rempli / automatique / relation spatiale selon le code couleur source | Description: Validation exploitant
id_user_valid,int4,FK utilisateur validateur,non,,-> public.utilisateur.id_user,,Mode de remplissage: pre-rempli / automatique / relation spatiale selon le code couleur source
date_validation,timestamp,Date/heure validation,non,,,,Mode de remplissage: pre-rempli / automatique / relation spatiale selon le code couleur source
ep_agent,varchar(400),Dernier intervenant SIG,non,ETAFAT,,,Mode de remplissage: pre-rempli / automatique / relation spatiale selon le code couleur source
ep_sect_com,varchar(400),Secteur commercial,non,,,,Mode de remplissage: pre-rempli / automatique / relation spatiale selon le code couleur source | Valeur attendue: COMMUNE
