nom_du_champ,type,titre_mobile,obligatoire,valeur_par_defaut,reference_autre_table,liste_de_choix,remarque_metier
ep_type,varchar(400),Type de vanne,non,,,Vanne (V) | VANNE ETAGE (VE) | Vanne sectorielle (VS) | VANNE SOUS SECTEUR (VSS) | Vanne fermée (VF) | Vanne fermée condamnée (VFC) | Vanne reglée (VR) | Vanne asservie (VA),Mode de remplissage: saisie agent mobile
ep_modele,varchar(400),Modèle de vanne,non,,,,Mode de remplissage: saisie agent mobile
ep_diam,varchar(400),Diamètre,non,,,,Mode de remplissage: saisie agent mobile
ep_ref_regard,varchar(400),Existence d'un regard,non,,,Oui (O) | Non (N),Mode de remplissage: saisie agent mobile
ep_sens_ferm,varchar(400),Sens de fermeture de la vanne,non,,,Horaire (HORAIRE) | Anti horaire (ANTI-HORAIRE),Mode de remplissage: saisie agent mobile
ep_manoeuvre,varchar(400),Manoeuvrage de la vanne auto OUI/NON,non,,,Oui (O) | Non (N),Mode de remplissage: saisie agent mobile
ep_etat,varchar(400),Etat d'ouverture,non,,,Ouvert (OUVERT) | Ferme (FERME),Mode de remplissage: saisie agent mobile
ep_sectionnement,varchar(400),Type de Sectionnement,non,,,à opercule (à opercule) | à papillon (à papillon) | (à boisseau sphérique),Mode de remplissage: saisie agent mobile
ep_observation,varchar(400),Observation,non,,,,Mode de remplissage: saisie agent mobile
ep_conf_plan,varchar(400),Conformité des plans,non,,,Conforme aux plan (Conforme aux plan) | Objet découvrt sur terrain (Objet découvrt sur terrain) | Objet non trouvé sur le terrain (Objet non trouvé sur le terrain),Mode de remplissage: saisie agent mobile
ep_anomalie,varchar(400),Anomalie,non,,,,Mode de remplissage: saisie agent mobile
type_anomalie,,type d anomalie,non,,,,"Mode de remplissage: saisie agent mobile | Valeur attendue: sectionnement enterre , sectionnement degradé"
mode_localisation,varchar(400),Mode localisation,non,,,Levé topographique (Levé topographique) | Triangulé (Triangulé) | Schématique (Schématique) | Indéterminé (Indéterminé),Mode de remplissage: saisie agent mobile
ep_marque,varchar(400),Ep Marque,non,,,RAYARD (RAYARD) | BMX (BMX) | RAMUS (RAMUS) | ILLISIBLE (ILLISIBLE),Mode de remplissage: saisie agent mobile
fid,serial (PK),Identifiant unique (PK),non,nextval('ep.ep_vanne_fid_seq'),,,Mode de remplissage: pre-rempli / automatique / relation spatiale selon le code couleur source
uuid,varchar(254),Identifiant unique universel,non,,,,Mode de remplissage: pre-rempli / automatique / relation spatiale selon le code couleur source
ep_alti,varchar(400),Altitude(Z),non,,,,Mode de remplissage: pre-rempli / automatique / relation spatiale selon le code couleur source
