nom_du_champ,type,titre_mobile,obligatoire,valeur_par_defaut,reference_autre_table,liste_de_choix,remarque_metier
abon,varchar(400),Abonné,oui,,,,Mode de remplissage: saisie agent mobile
nom,varchar(400),Nom,oui,,,,Mode de remplissage: saisie agent mobile
num_contrat,varchar(400),Numéro de contrat,oui,,,,Mode de remplissage: saisie agent mobile
num_compteur,varchar(400),Numéro de compteur,non,,,,Mode de remplissage: pre-rempli / automatique / relation spatiale selon le code couleur source
type_cpt,varchar(400),Type de compteur,non,,,,Mode de remplissage: saisie agent mobile
diametre,varchar(400),Diamètre,non,,,,Mode de remplissage: saisie agent mobile
ep_conf_plan,varchar(400),Conformité des plans,non,decouvert sur terrain,,Conforme aux plan (Conforme aux plan) | Objet découvrt sur terrain (Objet découvrt sur terrain) | Objet non trouvé sur le terrain (Objet non trouvé sur le terrain),Mode de remplissage: pre-rempli / automatique / relation spatiale selon le code couleur source
ep_observation,varchar(400),Observation,non,,,,Mode de remplissage: saisie agent mobile
ep_anomalie,varchar(400),Anomalie,non,,,,Mode de remplissage: saisie agent mobile
type_anomalie,,Type Anomalie,non,,,,"Mode de remplissage: saisie agent mobile | Valeur attendue: abscence de comtpeur , branchement non raccordé ,fraude"
mode_localisation,varchar(400),Mode localisation,non,levé topographique,,Levé topographique (Levé topographique) | Triangulé (Triangulé) | Schématique (Schématique) | Indéterminé (Indéterminé),Mode de remplissage: pre-rempli / automatique / relation spatiale selon le code couleur source
fid,serial (PK),Identifiant unique (PK),non,nextval('ep.ep_brc_pt_fid_seq'),,,Mode de remplissage: pre-rempli / automatique / relation spatiale selon le code couleur source
uuid,varchar(254),Identifiant unique universel,non,,,,Mode de remplissage: pre-rempli / automatique / relation spatiale selon le code couleur source
ref,varchar(400),Référence,non,,,,Mode de remplissage: pre-rempli / automatique / relation spatiale selon le code couleur source
sect,varchar(400),Secteur commercial,non,,,,Mode de remplissage: pre-rempli / automatique / relation spatiale selon le code couleur source
ep_coor_x,float8,Coordonnées relevées  X,non,,,,Mode de remplissage: pre-rempli / automatique / relation spatiale selon le code couleur source
ep_coor_Z,,Coor Z,non,,,,Mode de remplissage: pre-rempli / automatique / relation spatiale selon le code couleur source
ep_coor_y,float8,Coordonnées relevées  Y,non,,,,Mode de remplissage: pre-rempli / automatique / relation spatiale selon le code couleur source
type_abonnement,varchar(400),Type d'abonnement,non,,,,Mode de remplissage: pre-rempli / automatique / relation spatiale selon le code couleur source
etat_abonnement,varchar(400),Etat abonnement,non,,,,Mode de remplissage: pre-rempli / automatique / relation spatiale selon le code couleur source
ep_date_insertion,date,Date d'insertion sur Elyx,non,,,,Mode de remplissage: pre-rempli / automatique / relation spatiale selon le code couleur source
geom,geometry,Géométrie PostGIS,non,,,,Mode de remplissage: pre-rempli / automatique / relation spatiale selon le code couleur source
id_commune,int4,FK commune,non,,-> public.commune.fid,,Mode de remplissage: pre-rempli / automatique / relation spatiale selon le code couleur source
id_province,int4,FK province,non,,-> public.province.fid,,Mode de remplissage: pre-rempli / automatique / relation spatiale selon le code couleur source
id_user_creat,int4,FK utilisateur créateur,non,,-> public.utilisateur.id_user,,Mode de remplissage: pre-rempli / automatique / relation spatiale selon le code couleur source
id_user_modif,int4,FK utilisateur modificateur,non,,-> public.utilisateur.id_user,,Mode de remplissage: pre-rempli / automatique / relation spatiale selon le code couleur source
date_creation,timestamptz,Date/heure de création,non,,,,Mode de remplissage: pre-rempli / automatique / relation spatiale selon le code couleur source
date_modif,timestamptz,Date/heure dernière modification,non,,,,Mode de remplissage: pre-rempli / automatique / relation spatiale selon le code couleur source
is_deleted,bool,Suppression logique,non,False,,,Mode de remplissage: pre-rempli / automatique / relation spatiale selon le code couleur source
is_validated,bool,Validation exploitant,non,False,,,Mode de remplissage: pre-rempli / automatique / relation spatiale selon le code couleur source | Description: Validation exploitant
id_user_valid,int4,FK utilisateur validateur,non,,-> public.utilisateur.id_user,,Mode de remplissage: pre-rempli / automatique / relation spatiale selon le code couleur source
date_validation,timestamp,Date/heure validation,non,,,,Mode de remplissage: pre-rempli / automatique / relation spatiale selon le code couleur source
sect_hydr,varchar(400),Secteur hydraulique,non,,,,Mode de remplissage: pre-rempli / automatique / relation spatiale selon le code couleur source
zone,varchar(400),Zone hydraulique,non,,,,Mode de remplissage: pre-rempli / automatique / relation spatiale selon le code couleur source
adresse,varchar(400),Adresse,non,,,,Mode de remplissage: pre-rempli / automatique / relation spatiale selon le code couleur source
ep_agent,varchar(400),Dernier intervenant SIG,non,,,,Mode de remplissage: pre-rempli / automatique / relation spatiale selon le code couleur source
ep_agent_crea,varchar(400),Agent de création SIG,non,,,,Mode de remplissage: pre-rempli / automatique / relation spatiale selon le code couleur source
sec_com,varchar(400),Sec Com,non,,,,Mode de remplissage: pre-rempli / automatique / relation spatiale selon le code couleur source
ancien_ref_sap,int4,Ancienne reference SAP,non,liaison avec db clientel,,,Mode de remplissage: saisie agent mobile
id_geo,int4,Identifiant geographique,non,liaison avec db clientel,,,Mode de remplissage: saisie agent mobile
ancienne_police,int4,Ancienne police,non,liaison avec db clientel,,,Mode de remplissage: saisie agent mobile
